epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34642,0.69634,2.87112,1.25109,0.00306,1,0.68775,0.68775,0.15038,3.10538,0.7588,0.00013336,0.00013336,0.00013336
2,13.1403,0.61513,2.37992,1.15652,0.0031,1,0.6374,0.51741,0.30612,2.98962,0.82458,0.000278714,0.000278714,0.000278714
3,18.1217,0.6296,1.95491,1.18974,0.37784,0.5,0.63964,0.53592,0.42083,2.56887,0.94547,0.000419117,0.000419117,0.000419117
4,23.4609,0.63529,1.64789,1.17482,0.48056,0.5,0.63964,0.58832,0.30905,2.50925,0.83389,0.000554569,0.000554569,0.000554569
5,28.5807,0.66463,1.45895,1.15853,0.71563,1,0.74625,0.68339,0.34082,1.87,0.81335,0.00068507,0.00068507,0.00068507
6,33.7406,0.66516,1.31657,1.11803,0.86069,0.97989,0.995,0.96004,0.3347,1.22515,0.79471,0.00081062,0.00081062,0.00081062
7,39.8432,0.68004,1.2002,1.13573,0.69801,0.85714,0.964,0.91215,0.32402,1.68342,0.79417,0.00093122,0.00093122,0.00093122
8,44.9567,0.60756,1.18537,1.09191,0.84189,0.89275,0.97944,0.90077,0.34093,1.91736,0.80632,0.00104687,0.00104687,0.00104687
9,50.3002,0.56484,1.16285,1.02085,0.84189,0.89275,0.97944,0.90077,0.34093,1.91736,0.80632,0.00115756,0.00115756,0.00115756
10,55.6289,0.71018,1.20991,1.15083,0.92971,1,0.995,0.9775,0.46843,1.26015,0.91764,0.00126331,0.00126331,0.00126331
11,61.3488,0.56608,1.12316,1.0048,0.92971,1,0.995,0.9775,0.46843,1.26015,0.91764,0.00136411,0.00136411,0.00136411
12,66.379,0.72591,1.06809,1.09922,0.90762,1,0.995,0.80195,0.51853,2.48675,0.99818,0.00136444,0.00136444,0.00136444
13,71.723,0.54485,1.04723,1.05386,0.90762,1,0.995,0.80195,0.51853,2.48675,0.99818,0.00133693,0.00133693,0.00133693
14,77.5078,0.73275,1.19334,1.19327,0.96351,1,0.995,0.915,0.49747,1.43745,0.96761,0.00130943,0.00130943,0.00130943
15,82.5845,0.63162,1.01358,1.09342,0.65734,1,0.95063,0.85381,0.42046,1.73349,0.89962,0.00128192,0.00128192,0.00128192
